CM Course,Type Key,State Key,Name,Descr,formatID,shortName
CHEM799,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM889,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM898,,,Lecture Only,Courses with Lecture only,,LEC 
CHEM899,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL101,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL201,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL201,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL202,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL202,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL206,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL206,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL211,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL211,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL212,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL212,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL221,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL221,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL222,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL222,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL233,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL233,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL234,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL234,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL241,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL241,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL243,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL243,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL244,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL244,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL245,,,Lecture/Lab/Discussion,Courses with Lecure/Lab/Discussion,,LEC/LAB/DIS
ENGL250,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL250,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL262,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL262,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL265,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL265,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL271,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL271,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL272,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL272,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL273,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL273,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL278,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL278,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL280,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL280,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL281,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL281,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL282,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL282,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL289,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL289,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL291,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL291,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL293,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL293,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL295,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL295,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL301,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL301,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL304,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL304,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL305,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL305,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL310,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL310,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL311,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL311,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL313,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL313,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL317,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL317,,,Lecture/Discussion,Courses with Lecture/Discussion,,LEC/DIS
ENGL329,,,Lecture/Lab,Courses with Lecture/Lab,,LEC/LAB
ENGL346,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL348,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL352,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL353,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL362,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL368,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL373,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL379,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL381,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL383,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL384,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL388,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL390,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL391,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL392,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL393,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL394,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL395,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL402,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL403,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL404,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL408,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL416,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL420,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL429,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL433,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL440,,,Lecture Only,Courses with Lecture only,,LEC 
ENGL444,,,Lecture Only,Courses with Lecture only,,LEC 
